question,answer,vector
Что представляют собой курсы Praktikum?,"Курсы Praktikum длительностью от 3 до 9 месяцев — это комплексные программы, направленные на подготовку к определенной специализации. Они предоставляют полный объем знаний, что и определяет их длительность.","[-0.02393377  0.00908413 -0.01608868 ... -0.00619202 -0.01316233
  0.00947015]"
В какой форме проводятся курсы?,Курсы включают в себя видеоуроки и тестовые задания. Для взаимодействия между преподавателем и студентами существуют специализированные группы в Telegram. Видеоуроки доступны онлайн на нашей платформе.,"[-0.01270432 -0.0204917  -0.01677077 ... -0.00497342  0.01645183
  0.01476412]"
Смогу ли я найти работу после обучения?,На курсах Praktikum вы получите все ключевые знания и навыки для трудоустройства. Тем не менее успешное трудоустройство также зависит от ваших soft skills таких как коммуникабельность и умение работать в команде.,"[-0.00820771  0.00789851  0.00052469 ... -0.01325788 -0.00988485
  0.00393286]"
Можно использовать один курс разным людям?,Каждый приобретенный курс предназначен для использования только одним человеком. Передача или распространение курса другим лицам запрещена.,"[-0.03076276 -0.06292506 -0.02053542 ... -0.01795167  0.0327544
  0.00804057]"
Можно ли оплатить обучение в рассрочку?,"Да, вы можете оформить рассрочку на срок от 30 дней до 12 месяцев. Если второй платеж не поступит вовремя, доступ к курсу будет приостановлен до момента полной оплаты.","[-0.05027715 -0.01067557 -0.01309995 ... -0.01118542  0.01452543
  0.01717872]"
Что такое Mohirdev?,Онлайн-платформа по обучению IT профессиям.,"[-0.01410146 -0.0041912  -0.01208789 ... -0.01697065 -0.00644923
 -0.03440448]"
Чего добился MohirDev?,"Мы стали лидирующей онлайн-платформой в Узбекистане, объединяя более 50 000 активных пользователей, стремящихся к профессиональному росту в IT.","[-0.00207514 -0.01045685 -0.00930528 ... -0.01143838  0.00308759
 -0.01167797]"
Какие приемущества у MohirDev?,"Мы сочетаем теорию и практику, где уроки представлены и на Узбекском языке, что является большим преимуществом. Мы предлагаем не только видеоуроки, но и тестовые задания, которые помогут закрепить полученные знания. Наши преподаватели всегда готовы ответить на ваши вопросы, а регулярные встречи в ZOOM позволяют обсудить сложные моменты. Удобство обучения из дома, использование инновационных технологий и постоянная поддержка — вот что делает нас особенными.","[-0.01836574 -0.02165714 -0.0177796  ... -0.01720849 -0.00208343
 -0.01800504]"
Какая история у компании?,"Наш путь начался с идеи создать платформу, которая даст каждому возможность учиться и развиваться. С тех пор мы приняли участие в международных стартап-конкурсах, успешно привлекли инвестиции и продолжаем расти, благодаря нашей команде и ученикам.","[-0.01196984 -0.0401621  -0.00439454 ... -0.02896862 -0.00570103
 -0.00274767]"
Кто Директор MohirDev?,Анвар Нарзуллаев,"[-0.04507234 -0.01487718 -0.00965639 ... -0.02316983  0.00021308
 -0.02013929]"
